sh_0.1	
1	0.005
2	0.01
3	0.015
4	0.02
5	0.025
6	0.03
7	0.035
8	0.04
9	0.045
10	0.05
11	0.055
12	0.06
13	0.065
14	0.07
15	0.075
16	0.08
17	0.085
18	0.09
19	0.095
20	0.1
21	0.105
22	0.1
23	0.095
24	0.09
25	0.085
26	0.08
27	0.075
28	0.07
29	0.065
30	0.06
31	0.055
32	0.05
33	0.045
34	0.04
35	0.035
36	0.03
37	0.025
38	0.02
39	0.015
40	0.01
41	0.005
42	0.01
43	0.015
44	0.02
45	0.025
46	0.03
47	0.035
48	0.04
49	0.045
50	0.05
51	0.055
52	0.06
53	0.065
54	0.07
55	0.075
56	0.08
57	0.085
58	0.09
59	0.095
60	0.1
61	0.105
62	0.1
63	0.095
64	0.09
65	0.085
66	0.08
67	0.075
68	0.07
69	0.065
70	0.06
71	0.055
72	0.05
73	0.045
74	0.04
75	0.035
76	0.03
77	0.025
78	0.02
79	0.015
80	0.01
81	0.005
82	0.01
83	0.015
84	0.02
85	0.025
86	0.03
87	0.035
88	0.04
89	0.045
90	0.05
91	0.055
92	0.06
93	0.065
94	0.07
95	0.075
96	0.08
97	0.085
98	0.09
99	0.095
100	0.1
101	0.105
102	0.1
103	0.095
104	0.09
105	0.085
106	0.08
107	0.075
108	0.07
109	0.065
110	0.06
111	0.055
112	0.05
113	0.045
114	0.04
115	0.035
116	0.03
117	0.025
118	0.02
119	0.015
120	0.01
121	0.005
122	0.01
123	0.015
124	0.02
125	0.025
126	0.03
127	0.035
128	0.04
129	0.045
130	0.05
131	0.055
132	0.06
133	0.065
134	0.07
135	0.075
136	0.08
137	0.085
138	0.09
139	0.095
140	0.1
141	0.105
142	0.1
143	0.095
144	0.09
145	0.085
146	0.08
147	0.075
148	0.07
149	0.065
150	0.06
151	0.055
152	0.05
153	0.045
154	0.04
155	0.035
156	0.03
157	0.025
158	0.02
159	0.015
160	0.01
161	0.005
162	0.01
163	0.015
164	0.02
165	0.025
166	0.03
167	0.035
168	0.04
169	0.045
170	0.05
171	0.055
172	0.06
173	0.065
174	0.07
175	0.075
176	0.08
177	0.085
178	0.09
179	0.095
180	0.1
181	0.105
182	0.1
183	0.095
184	0.09
185	0.085
186	0.08
187	0.075
188	0.07
189	0.065
190	0.06
191	0.055
192	0.05
193	0.045
194	0.04
195	0.035
196	0.03
197	0.025
198	0.02
199	0.015
200	0.01
201	0.005
202	0.01
203	0.015
204	0.02
205	0.025
206	0.03
207	0.035
208	0.04
209	0.045
210	0.05
211	0.055
212	0.06
213	0.065
214	0.07
215	0.075
216	0.08
217	0.085
218	0.09
219	0.095
220	0.1
221	0.105
222	0.1
223	0.095
224	0.09
225	0.085
226	0.08
227	0.075
228	0.07
229	0.065
230	0.06
