sh_0.1	
197	0.075
198	0.05
199	0.025
200	0.05
201	0.075
202	0.1
203	0.075
204	0.05
205	0.025
206	0.05
207	0.075
208	0.1
209	0.075
210	0.05
211	0.025
212	0.05
213	0.075
214	0.1
215	0.075
216	0.05
217	0.025
218	0.05
219	0.075
220	0.1
221	0.075
222	0.05
223	0.025
224	0.05
225	0.075
226	0.1
227	0.075
228	0.05
229	0.025
230	0.05
231	0.075
232	0.1
233	0.075
234	0.05
235	0.025
236	0.05
237	0.075
238	0.1
239	0.075
240	0.05
241	0.025
242	0.05
243	0.075
244	0.1
245	0.075
246	0.05
247	0.025
248	0.05
249	0.075
250	0.1
251	0.075
252	0.05
253	0.025
254	0.05
255	0.075
256	0.1
257	0.075
258	0.05
259	0.025
260	0.05
261	0.075
262	0.1
263	0.075
264	0.05
265	0.025
266	0.05
267	0.075
268	0.1
269	0.075
270	0.05
271	0.025
272	0.05
273	0.075
274	0.1
275	0.075
276	0.05
277	0.025
278	0.05
279	0.075
280	0.1
281	0.075
282	0.05
283	0.025
284	0.05
285	0.075
286	0.1
287	0.075
288	0.05
289	0.025
290	0.05
291	0.075
292	0.1
293	0.075
294	0.05
295	0.025
296	0.05
297	0.075
298	0.1
299	0.075
300	0.05
301	0.025
302	0.05
303	0.075
304	0.1
305	0.075
306	0.05
307	0.025
308	0.05
309	0.075
310	0.1
311	0.075
312	0.05
313	0.025
314	0.05
315	0.075
316	0.1
317	0.075
318	0.05
319	0.025
320	0.05
321	0.075
322	0.1
323	0.075
324	0.05
325	0.025
326	0.05
327	0.075
328	0.1
329	0.075
330	0.05
331	0.025
332	0.05
333	0.075
334	0.1
335	0.075
336	0.05
337	0.025
338	0.05
339	0.075
340	0.1
341	0.075
342	0.05
343	0.025
344	0.05
345	0.075
346	0.1
347	0.075
348	0.05
349	0.025
350	0.05
351	0.075
352	0.1
353	0.075
354	0.05
355	0.025
356	0.05
357	0.075
358	0.1
359	0.075
360	0.05
361	0.025
362	0.05
363	0.075
364	0.1
365	0.075
366	0.05
367	0.025
368	0.05
369	0.075
370	0.1
371	0.075
372	0.05
373	0.025
374	0.05
375	0.075
376	0.1
377	0.075
378	0.05
379	0.025
380	0.05
381	0.075
382	0.1
383	0.075
384	0.05
385	0.025
386	0.05
387	0.075
388	0.1
389	0.075
390	0.05
391	0.025
392	0.05
393	0.075
394	0.1
395	0.075
396	0.05
397	0.025
398	0.05
399	0.075
400	0.1
401	0.075
402	0.05
403	0.025
404	0.05
405	0.075
406	0.1
407	0.075
408	0.05
409	0.025
410	0.05
411	0.075
412	0.1
413	0.075
414	0.05
415	0.025
416	0.05
417	0.075
418	0.1
419	0.075
420	0.05
421	0.025
422	0.05
423	0.075
424	0.1
425	0.075
426	0.05
427	0.025
428	0.05
429	0.075
430	0.1
431	0.075
432	0.05
433	0.025
434	0.05
435	0.075
436	0.1
437	0.075
438	0.05
439	0.025
440	0.05
441	0.075
442	0.1
443	0.075
444	0.05
445	0.025
446	0.05
447	0.075
448	0.1
449	0.075
450	0.05
451	0.025
452	0.05
453	0.075
454	0.1
455	0.075
456	0.05
457	0.025
458	0.05
459	0.075
460	0.1
461	0.075
462	0.05
463	0.025
464	0.05
465	0.075
466	0.1
467	0.075
468	0.05
469	0.025
470	0.05
471	0.075
472	0.1
473	0.075
474	0.05
475	0.025
476	0.05
477	0.075
478	0.1
479	0.075
480	0.05
481	0.025
482	0.05
483	0.075
484	0.1
485	0.075
486	0.05
487	0.025
488	0.05
489	0.075
490	0.1
491	0.075
492	0.05
493	0.025
494	0.05
495	0.075
496	0.1
497	0.075
498	0.05
499	0.025
500	0.05
501	0.075
502	0.1
503	0.075
504	0.05
505	0.025
506	0.05
507	0.075
508	0.1
509	0.075
510	0.05
511	0.025
512	0.05
513	0.075
514	0.1
515	0.075
516	0.05
517	0.025
518	0.05
519	0.075
520	0.1
521	0.075
522	0.05
523	0.025
524	0.05
525	0.075
526	0.1
527	0.075
528	0.05
529	0.025
530	0.05
531	0.075
532	0.1
533	0.075
534	0.05
535	0.025
536	0.05
537	0.075
538	0.1
539	0.075
540	0.05
541	0.025
542	0.05
543	0.075
544	0.1
545	0.075
546	0.05
547	0.025
548	0.05
549	0.075
550	0.1
551	0.075
552	0.05
553	0.025
554	0.05
555	0.075
556	0.1
557	0.075
558	0.05
559	0.025
560	0.05
561	0.075
562	0.1
563	0.075
564	0.05
565	0.025
566	0.05
567	0.075
568	0.1
569	0.075
570	0.05
571	0.025
572	0.05
573	0.075
574	0.1
575	0.075
576	0.05
577	0.025
578	0.05
579	0.075
580	0.1
581	0.075
582	0.05
583	0.025
584	0.05
585	0.075
586	0.1
587	0.075
588	0.05
589	0.025
590	0.05
591	0.075
592	0.1
593	0.075
594	0.05
595	0.025
596	0.05
597	0.075
598	0.1
599	0.075
600	0.05
601	0.025
602	0.05
603	0.075
604	0.1
605	0.075
606	0.05
607	0.025
608	0.05
609	0.075
610	0.1
611	0.075
612	0.05
613	0.025
614	0.05
615	0.075
616	0.1
617	0.075
618	0.05
619	0.025
620	0.05
621	0.075
622	0.1
623	0.075
624	0.05
625	0.025
626	0.05
627	0.075
628	0.1
629	0.075
630	0.05
631	0.025
632	0.05
633	0.075
634	0.1
635	0.075
636	0.05
637	0.025
638	0.05
639	0.075
640	0.1
641	0.075
642	0.05
643	0.025
644	0.05
645	0.075
646	0.1
647	0.075
648	0.05
649	0.025
650	0.05
651	0.075
652	0.1
653	0.075
654	0.05
655	0.025
656	0.05
657	0.075
658	0.1
659	0.075
660	0.05
661	0.025
662	0.05
663	0.075
664	0.1
665	0.075
666	0.05
667	0.025
668	0.05
669	0.075
670	0.1
671	0.075
672	0.05
673	0.025
674	0.05
675	0.075
676	0.1
677	0.075
678	0.05
679	0.025
680	0.05
681	0.075
682	0.1
683	0.075
684	0.05
685	0.025
686	0.05
687	0.075
688	0.1
689	0.075
690	0.05
691	0.025
692	0.05
693	0.075
694	0.1
695	0.075
696	0.05
697	0.025
698	0.05
699	0.075
700	0.1
701	0.075
702	0.05
703	0.025
704	0.05
705	0.075
706	0.1
707	0.075
708	0.05
709	0.025
710	0.05
711	0.075
712	0.1
713	0.075
714	0.05
715	0.025
716	0.05
717	0.075
718	0.1
719	0.075
720	0.05
721	0.025
722	0.05
723	0.075
724	0.1
725	0.075
726	0.05
727	0.025
728	0.05
729	0.075
730	0.1
731	0.075
732	0.05
733	0.025
734	0.05
735	0.075
736	0.1
737	0.075
738	0.05
739	0.025
740	0.05
741	0.075
742	0.1
743	0.075
744	0.05
745	0.025
746	0.05
747	0.075
748	0.1
749	0.075
750	0.05
751	0.025
752	0.05
753	0.075
754	0.1
755	0.075
756	0.05
757	0.025
758	0.05
759	0.075
760	0.1
761	0.075
762	0.05
763	0.025
764	0.05
765	0.075
766	0.1
767	0.075
768	0.05
769	0.025
770	0.05
771	0.075
772	0.1
773	0.075
774	0.05
775	0.025
776	0.05
777	0.075
778	0.1
779	0.075
780	0.05
781	0.025
782	0.05
783	0.075
784	0.1
785	0.075
786	0.05
787	0.025
788	0.05
789	0.075
790	0.1
791	0.075
792	0.05
793	0.025
794	0.05
795	0.075
796	0.1
797	0.075
798	0.05
799	0.025
800	0.05
801	0.075
802	0.1
803	0.075
804	0.05
805	0.025
806	0.05
807	0.075
808	0.1
809	0.075
810	0.05
811	0.025
812	0.05
813	0.075
814	0.1
815	0.075
816	0.05
817	0.025
818	0.05
819	0.075
820	0.1
821	0.075
822	0.05
823	0.025
824	0.05
825	0.075
826	0.1
827	0.075
828	0.05
829	0.025
830	0.05
831	0.075
832	0.1
833	0.075
834	0.05
835	0.025
836	0.05
837	0.075
838	0.1
839	0.075
840	0.05
841	0.025
842	0.05
843	0.075
844	0.1
845	0.075
846	0.05
847	0.025
848	0.05
849	0.075
850	0.1
851	0.075
852	0.05
853	0.025
854	0.05
855	0.075
856	0.1
857	0.075
858	0.05
859	0.025
860	0.05
861	0.075
862	0.1
863	0.075
864	0.05
865	0.025
866	0.05
867	0.075
868	0.1
869	0.075
870	0.05
871	0.025
872	0.05
873	0.075
874	0.1
875	0.075
876	0.05
877	0.025
878	0.05
879	0.075
880	0.1
881	0.075
882	0.05
883	0.025
884	0.05
885	0.075
886	0.1
887	0.075
888	0.05
889	0.025
890	0.05
891	0.075
892	0.1
893	0.075
894	0.05
895	0.025
896	0.05
897	0.075
898	0.1
899	0.075
900	0.05
901	0.025
902	0.05
903	0.075
904	0.1
905	0.075
906	0.05
907	0.025
908	0.05
909	0.075
910	0.1
911	0.075
912	0.05
913	0.025
914	0.05
915	0.075
916	0.1
917	0.075
918	0.05
919	0.025
920	0.05
921	0.075
922	0.1
923	0.075
924	0.05
925	0.025
926	0.05
927	0.075
928	0.1
929	0.075
930	0.05
931	0.025
932	0.05
933	0.075
934	0.1
935	0.075
936	0.05
937	0.025
938	0.05
939	0.075
940	0.1
941	0.075
942	0.05
943	0.025
944	0.05
945	0.075
946	0.1
947	0.075
948	0.05
949	0.025
950	0.05
951	0.075
952	0.1
953	0.075
954	0.05
955	0.025
956	0.05
957	0.075
958	0.1
959	0.075
960	0.05
961	0.025
962	0.05
963	0.075
964	0.1
965	0.075
966	0.05
967	0.025
968	0.05
969	0.075
970	0.1
971	0.075
972	0.05
973	0.025
974	0.05
975	0.075
976	0.1
977	0.075
978	0.05
979	0.025
980	0.05
981	0.075
982	0.1
983	0.075
984	0.05
985	0.025
986	0.05
987	0.075
988	0.1
989	0.075
990	0.05
991	0.025
992	0.05
993	0.075
994	0.1
995	0.075
996	0.05
997	0.025
998	0.05
999	0.075
1000	0.1
1001	0.075
1002	0.05
1003	0.025
1004	0.05
1005	0.075
1006	0.1
1007	0.075
1008	0.05
1009	0.025
1010	0.05
1011	0.075
1012	0.1
1013	0.075
1014	0.05
1015	0.025
1016	0.05
1017	0.075
1018	0.1
1019	0.075
1020	0.05
1021	0.025
1022	0.05
1023	0.075
1024	0.1
1025	0.075
1026	0.05
1027	0.025
1028	0.05
1029	0.075
1030	0.1
1031	0.075
1032	0.05
1033	0.025
1034	0.05
1035	0.075
1036	0.1
1037	0.075
1038	0.05
1039	0.025
1040	0.05
1041	0.075
1042	0.1
1043	0.075
1044	0.05
1045	0.025
1046	0.05
1047	0.075
1048	0.1
1049	0.075
1050	0.05
1051	0.025
1052	0.05
1053	0.075
1054	0.1
1055	0.075
1056	0.05
1057	0.025
1058	0.05
1059	0.075
1060	0.1
1061	0.075
1062	0.05
1063	0.025
1064	0.05
1065	0.075
1066	0.1
1067	0.075
1068	0.05
1069	0.025
1070	0.05
1071	0.075
1072	0.1
1073	0.075
1074	0.05
1075	0.025
1076	0.05
1077	0.075
1078	0.1
1079	0.075
1080	0.05
1081	0.025
1082	0.05
1083	0.075
1084	0.1
1085	0.075
1086	0.05
1087	0.025
1088	0.05
1089	0.075
1090	0.1
1091	0.075
1092	0.05
1093	0.025
1094	0.05
1095	0.075
1096	0.1
1097	0.075
1098	0.05
1099	0.025
1100	0.05
1101	0.075
1102	0.1
1103	0.075
1104	0.05
1105	0.025
1106	0.05
1107	0.075
1108	0.1
1109	0.075
1110	0.05
1111	0.025
1112	0.05
1113	0.075
1114	0.1
1115	0.075
1116	0.05
1117	0.025
1118	0.05
1119	0.075
1120	0.1
1121	0.075
1122	0.05
1123	0.025
1124	0.05
1125	0.075
1126	0.1
1127	0.075
1128	0.05
1129	0.025
1130	0.05
1131	0.075
1132	0.1
1133	0.075
1134	0.05
1135	0.025
1136	0.05
1137	0.075
1138	0.1
1139	0.075
1140	0.05
1141	0.025
1142	0.05
1143	0.075
1144	0.1
1145	0.075
1146	0.05
1147	0.025
1148	0.05
1149	0.075
1150	0.1
1151	0.075
1152	0.05
1153	0.025
1154	0.05
1155	0.075
1156	0.1
1157	0.075
1158	0.05
1159	0.025
1160	0.05
1161	0.075
1162	0.1
1163	0.075
1164	0.05
1165	0.025
1166	0.05
1167	0.075
1168	0.1
1169	0.075
1170	0.05
1171	0.025
1172	0.05
1173	0.075
1174	0.1
1175	0.075
1176	0.05
1177	0.025
1178	0.05
1179	0.075
1180	0.1
1181	0.075
1182	0.05
1183	0.025
1184	0.05
1185	0.075
1186	0.1
1187	0.075
1188	0.05
1189	0.025
1190	0.05
1191	0.075
1192	0.1
1193	0.075
1194	0.05
1195	0.025
1196	0.05
1197	0.075
1198	0.1
1199	0.075
1200	0.05
1201	0.025
1202	0.05
1203	0.075
1204	0.1
1205	0.075
1206	0.05
1207	0.025
1208	0.05
1209	0.075
1210	0.1
1211	0.075
1212	0.05
1213	0.025
1214	0.05
1215	0.075
1216	0.1
1217	0.075
1218	0.05
1219	0.025
1220	0.05
1221	0.075
1222	0.1
1223	0.075
1224	0.05
1225	0.025
1226	0.05
1227	0.075
1228	0.1
1229	0.075
1230	0.05
1231	0.025
1232	0.05
1233	0.075
1234	0.1
1235	0.075
1236	0.05
1237	0.025
1238	0.05
1239	0.075
1240	0.1
1241	0.075
1242	0.05
1243	0.025
1244	0.05
1245	0.075
1246	0.1
1247	0.075
1248	0.05
1249	0.025
1250	0.05
1251	0.075
1252	0.1
1253	0.075
1254	0.05
1255	0.025
1256	0.05
1257	0.075
1258	0.1
1259	0.075
1260	0.05
1261	0.025
1262	0.05
1263	0.075
1264	0.1
1265	0.075
1266	0.05
1267	0.025
1268	0.05
1269	0.075
1270	0.1
1271	0.075
1272	0.05
1273	0.025
1274	0.05
1275	0.075
1276	0.1
1277	0.075
1278	0.05
1279	0.025
1280	0.05
1281	0.075
1282	0.1
1283	0.075
1284	0.05
1285	0.025
1286	0.05
1287	0.075
1288	0.1
1289	0.075
1290	0.05
1291	0.025
1292	0.05
1293	0.075
1294	0.1
1295	0.075
1296	0.05
1297	0.025
1298	0.05
1299	0.075
1300	0.1
1301	0.075
1302	0.05
1303	0.025
1304	0.05
1305	0.075
1306	0.1
1307	0.075
1308	0.05
1309	0.025
1310	0.05
1311	0.075
1312	0.1
1313	0.075
1314	0.05
1315	0.025
1316	0.05
1317	0.075
1318	0.1
1319	0.075
1320	0.05
1321	0.025
1322	0.05
1323	0.075
1324	0.1
1325	0.075
1326	0.05
1327	0.025
1328	0.05
1329	0.075
1330	0.1
1331	0.075
1332	0.05
1333	0.025
1334	0.05
1335	0.075
1336	0.1
1337	0.075
1338	0.05
1339	0.025
1340	0.05
1341	0.075
1342	0.1
1343	0.075
1344	0.05
1345	0.025
1346	0.05
1347	0.075
1348	0.1
1349	0.075
1350	0.05
1351	0.025
1352	0.05
1353	0.075
1354	0.1
1355	0.075
1356	0.05
1357	0.025
1358	0.05
1359	0.075
1360	0.1
1361	0.075
1362	0.05
1363	0.025
1364	0.05
1365	0.075
1366	0.1
1367	0.075
1368	0.05
1369	0.025
1370	0.05
1371	0.075
1372	0.1
1373	0.075
1374	0.05
1375	0.025
1376	0.05
1377	0.075
1378	0.1
1379	0.075
1380	0.05
1381	0.025
1382	0.05
1383	0.075
1384	0.1
1385	0.075
1386	0.05
1387	0.025
1388	0.05
1389	0.075
1390	0.1
1391	0.075
1392	0.05
1393	0.025
1394	0.05
1395	0.075
1396	0.1
1397	0.075
1398	0.05
1399	0.025
1400	0.05
1401	0.075
1402	0.1
1403	0.075
1404	0.05
1405	0.025
1406	0.05
1407	0.075
1408	0.1
1409	0.075
1410	0.05
1411	0.025
1412	0.05
1413	0.075
1414	0.1
1415	0.075
1416	0.05
1417	0.025
1418	0.05
1419	0.075
1420	0.1
1421	0.075
1422	0.05
1423	0.025
1424	0.05
1425	0.075
1426	0.1
1427	0.075
1428	0.05
1429	0.025
1430	0.05
1431	0.075
1432	0.1
1433	0.075
1434	0.05
1435	0.025
1436	0.05
1437	0.075
1438	0.1
1439	0.075
1440	0.05
1441	0.025
1442	0.05
1443	0.075
1444	0.1
1445	0.075
1446	0.05
1447	0.025
1448	0.05
1449	0.075
1450	0.1
1451	0.075
1452	0.05
1453	0.025
1454	0.05
1455	0.075
1456	0.1
1457	0.075
1458	0.05
1459	0.025
1460	0.05
1461	0.075
1462	0.1
1463	0.075
1464	0.05
1465	0.025
1466	0.05
1467	0.075
1468	0.1
1469	0.075
1470	0.05
1471	0.025
1472	0.05
1473	0.075
1474	0.1
1475	0.075
1476	0.05
1477	0.025
1478	0.05
1479	0.075
1480	0.1
1481	0.075
1482	0.05
1483	0.025
1484	0.05
1485	0.075
1486	0.1
1487	0.075
1488	0.05
1489	0.025
1490	0.05
1491	0.075
1492	0.1
1493	0.075
1494	0.05
1495	0.025
1496	0.05
1497	0.075
1498	0.1
1499	0.075
1500	0.05
1501	0.025
1502	0.05
1503	0.075
1504	0.1
1505	0.075
1506	0.05
1507	0.025
1508	0.05
1509	0.075
1510	0.1
1511	0.075
1512	0.05
1513	0.025
1514	0.05
1515	0.075
1516	0.1
1517	0.075
1518	0.05
1519	0.025
1520	0.05
1521	0.075
1522	0.1
1523	0.075
1524	0.05
1525	0.025
1526	0.05
1527	0.075
1528	0.1
1529	0.075
1530	0.05
1531	0.025
1532	0.05
1533	0.075
1534	0.1
1535	0.075
1536	0.05
1537	0.025
1538	0.05
1539	0.075
1540	0.1
1541	0.075
1542	0.05
1543	0.025
1544	0.05
1545	0.075
1546	0.1
1547	0.075
1548	0.05
1549	0.025
1550	0.05
1551	0.075
1552	0.1
1553	0.075
1554	0.05
1555	0.025
1556	0.05
1557	0.075
1558	0.1
1559	0.075
1560	0.05
1561	0.025
1562	0.05
1563	0.075
1564	0.1
1565	0.075
1566	0.05
1567	0.025
1568	0.05
1569	0.075
1570	0.1
1571	0.075
1572	0.05
1573	0.025
1574	0.05
1575	0.075
1576	0.1
1577	0.075
1578	0.05
1579	0.025
1580	0.05
1581	0.075
1582	0.1
1583	0.075
1584	0.05
1585	0.025
1586	0.05
1587	0.075
1588	0.1
1589	0.075
1590	0.05
1591	0.025
1592	0.05
1593	0.075
1594	0.1
1595	0.075
1596	0.05
1597	0.025
1598	0.05
1599	0.075
1600	0.1
1601	0.075
1602	0.05
1603	0.025
1604	0.05
1605	0.075
1606	0.1
1607	0.075
1608	0.05
1609	0.025
1610	0.05
1611	0.075
1612	0.1
1613	0.075
1614	0.05
1615	0.025
1616	0.05
1617	0.075
1618	0.1
1619	0.075
1620	0.05
1621	0.025
1622	0.05
1623	0.075
1624	0.1
1625	0.075
1626	0.05
1627	0.025
1628	0.05
1629	0.075
1630	0.1
1631	0.075
1632	0.05
1633	0.025
1634	0.05
1635	0.075
1636	0.1
1637	0.075
1638	0.05
1639	0.025
1640	0.05
1641	0.075
1642	0.1
1643	0.075
1644	0.05
1645	0.025
1646	0.05
1647	0.075
1648	0.1
1649	0.075
1650	0.05
1651	0.025
1652	0.05
1653	0.075
1654	0.1
1655	0.075
1656	0.05
1657	0.025
1658	0.05
1659	0.075
1660	0.1
1661	0.075
1662	0.05
1663	0.025
1664	0.05
1665	0.075
1666	0.1
1667	0.075
1668	0.05
1669	0.025
1670	0.05
1671	0.075
1672	0.1
1673	0.075
1674	0.05
1675	0.025
1676	0.05
1677	0.075
1678	0.1
1679	0.075
1680	0.05
1681	0.025
1682	0.05
1683	0.075
1684	0.1
1685	0.075
1686	0.05
1687	0.025
1688	0.05
1689	0.075
1690	0.1
1691	0.075
1692	0.05
1693	0.025
1694	0.05
1695	0.075
1696	0.1
1697	0.075
1698	0.05
1699	0.025
1700	0.05
1701	0.075
1702	0.1
1703	0.075
1704	0.05
1705	0.025
1706	0.05
1707	0.075
1708	0.1
1709	0.075
1710	0.05
1711	0.025
1712	0.05
1713	0.075
1714	0.1
1715	0.075
1716	0.05
1717	0.025
1718	0.05
1719	0.075
1720	0.1
1721	0.075
1722	0.05
1723	0.025
1724	0.05
1725	0.075
1726	0.1
1727	0.075
1728	0.05
1729	0.025
1730	0.05
1731	0.075
1732	0.1
1733	0.075
1734	0.05
1735	0.025
1736	0.05
1737	0.075
1738	0.1
1739	0.075
1740	0.05
1741	0.025
1742	0.05
1743	0.075
1744	0.1
1745	0.075
1746	0.05
1747	0.025
1748	0.05
1749	0.075
1750	0.1
1751	0.075
1752	0.05
1753	0.025
1754	0.05
1755	0.075
1756	0.1
1757	0.075
1758	0.05
1759	0.025
1760	0.05
1761	0.075
1762	0.1
1763	0.075
1764	0.05
1765	0.025
1766	0.05
1767	0.075
1768	0.1
1769	0.075
1770	0.05
1771	0.025
1772	0.05
1773	0.075
1774	0.1
1775	0.075
1776	0.05
1777	0.025
1778	0.05
1779	0.075
1780	0.1
1781	0.075
1782	0.05
1783	0.025
1784	0.05
1785	0.075
1786	0.1
1787	0.075
1788	0.05
1789	0.025
1790	0.05
1791	0.075
1792	0.1
1793	0.075
1794	0.05
1795	0.025
1796	0.05
1797	0.075
1798	0.1
1799	0.075
1800	0.05
1801	0.025
1802	0.05
1803	0.075
1804	0.1
1805	0.075
1806	0.05
1807	0.025
1808	0.05
1809	0.075
1810	0.1
1811	0.075
1812	0.05
1813	0.025
1814	0.05
1815	0.075
1816	0.1
1817	0.075
1818	0.05
1819	0.025
1820	0.05
1821	0.075
1822	0.1
1823	0.075
1824	0.05
1825	0.025
1826	0.05
1827	0.075
1828	0.1
1829	0.075
1830	0.05
1831	0.025
1832	0.05
1833	0.075
1834	0.1
1835	0.075
1836	0.05
1837	0.025
1838	0.05
1839	0.075
1840	0.1
1841	0.075
1842	0.05
1843	0.025
1844	0.05
1845	0.075
1846	0.1
1847	0.075
1848	0.05
1849	0.025
1850	0.05
1851	0.075
1852	0.1
1853	0.075
1854	0.05
1855	0.025
1856	0.05
1857	0.075
1858	0.1
1859	0.075
1860	0.05
1861	0.025
1862	0.05
1863	0.075
1864	0.1
1865	0.075
1866	0.05
1867	0.025
1868	0.05
1869	0.075
1870	0.1
1871	0.075
1872	0.05
1873	0.025
1874	0.05
1875	0.075
1876	0.1
1877	0.075
1878	0.05
1879	0.025
1880	0.05
1881	0.075
1882	0.1
1883	0.075
1884	0.05
1885	0.025
1886	0.05
1887	0.075
1888	0.1
1889	0.075
1890	0.05
1891	0.025
1892	0.05
1893	0.075
1894	0.1
1895	0.075
1896	0.05
1897	0.025
1898	0.05
1899	0.075
1900	0.1
1901	0.075
1902	0.05
1903	0.025
1904	0.05
1905	0.075
1906	0.1
1907	0.075
1908	0.05
1909	0.025
1910	0.05
1911	0.075
1912	0.1
1913	0.075
1914	0.05
1915	0.025
1916	0.05
1917	0.075
1918	0.1
1919	0.075
1920	0.05
1921	0.025
1922	0.05
1923	0.075
1924	0.1
1925	0.075
1926	0.05
1927	0.025
1928	0.05
1929	0.075
1930	0.1
1931	0.075
1932	0.05
1933	0.025
1934	0.05
1935	0.075
1936	0.1
1937	0.075
1938	0.05
1939	0.025
1940	0.05
1941	0.075
1942	0.1
1943	0.075
1944	0.05
1945	0.025
1946	0.05
1947	0.075
1948	0.1
1949	0.075
1950	0.05
1951	0.025
1952	0.05
1953	0.075
1954	0.1
1955	0.075
1956	0.05
1957	0.025
1958	0.05
1959	0.075
1960	0.1
1961	0.075
1962	0.05
1963	0.025
1964	0.05
1965	0.075
1966	0.1
1967	0.075
1968	0.05
1969	0.025
1970	0.05
1971	0.075
1972	0.1
1973	0.075
1974	0.05
1975	0.025
1976	0.05
1977	0.075
1978	0.1
1979	0.075
1980	0.05
1981	0.025
1982	0.05
1983	0.075
1984	0.1
1985	0.075
1986	0.05
1987	0.025
1988	0.05
1989	0.075
1990	0.1
1991	0.075
1992	0.05
1993	0.025
1994	0.05
1995	0.075
1996	0.1
1997	0.075
1998	0.05
1999	0.025
2000	0.05
2001	0.075
2002	0.1
2003	0.075
2004	0.05
2005	0.025
2006	0.05
2007	0.075
2008	0.1
2009	0.075
2010	0.05
2011	0.025
2012	0.05
2013	0.075
2014	0.1
2015	0.075
2016	0.05
2017	0.025
2018	0.05
2019	0.075
2020	0.1
2021	0.075
2022	0.05
2023	0.025
2024	0.05
2025	0.075
2026	0.1
2027	0.075
2028	0.05
2029	0.025
2030	0.05
2031	0.075
2032	0.1
2033	0.075
2034	0.05
2035	0.025
2036	0.05
2037	0.075
2038	0.1
2039	0.075
2040	0.05
2041	0.025
2042	0.05
2043	0.075
2044	0.1
2045	0.075
2046	0.05
2047	0.025
2048	0.05
2049	0.075
2050	0.1
2051	0.075
2052	0.05
2053	0.025
2054	0.05
2055	0.075
2056	0.1
2057	0.075
2058	0.05
2059	0.025
2060	0.05
2061	0.075
2062	0.1
2063	0.075
2064	0.05
2065	0.025
2066	0.05
2067	0.075
2068	0.1
2069	0.075
2070	0.05
2071	0.025
2072	0.05
2073	0.075
2074	0.1
2075	0.075
2076	0.05
2077	0.025
2078	0.05
2079	0.075
2080	0.1
2081	0.075
2082	0.05
2083	0.025
2084	0.05
2085	0.075
2086	0.1
2087	0.075
2088	0.05
2089	0.025
2090	0.05
2091	0.075
2092	0.1
2093	0.075
2094	0.05
2095	0.025
2096	0.05
2097	0.075
2098	0.1
2099	0.075
2100	0.05
2101	0.025
2102	0.05
2103	0.075
2104	0.1
2105	0.075
2106	0.05
2107	0.025
2108	0.05
2109	0.075
2110	0.1
2111	0.075
2112	0.05
2113	0.025
