sh_0.1	
1	0.025
2	0.05
3	0.075
4	0.1
5	0.075
6	0.05
7	0.025
8	0.05
9	0.075
10	0.1
11	0.075
12	0.05
13	0.025
14	0.05
15	0.075
16	0.1
17	0.075
18	0.05
19	0.025
20	0.05
21	0.075
22	0.1
23	0.075
24	0.05
25	0.025
26	0.05
27	0.075
28	0.1
29	0.075
30	0.05
31	0.025
32	0.05
33	0.075
34	0.1
35	0.075
36	0.05
37	0.025
38	0.05
39	0.075
40	0.1
41	0.075
42	0.05
43	0.025
44	0.05
45	0.075
46	0.1
47	0.075
48	0.05
49	0.025
50	0.05
51	0.075
52	0.1
53	0.075
54	0.05
55	0.025
56	0.05
57	0.075
58	0.1
59	0.075
60	0.05
61	0.025
62	0.05
63	0.075
64	0.1
65	0.075
66	0.05
67	0.025
68	0.05
69	0.075
70	0.1
71	0.075
72	0.05
73	0.025
74	0.05
75	0.075
76	0.1
77	0.075
78	0.05
79	0.025
80	0.05
81	0.075
82	0.1
83	0.075
84	0.05
85	0.025
86	0.05
87	0.075
88	0.1
89	0.075
90	0.05
91	0.025
92	0.05
93	0.075
94	0.1
95	0.075
96	0.05
97	0.025
98	0.05
99	0.075
100	0.1
101	0.075
102	0.05
103	0.025
104	0.05
105	0.075
106	0.1
107	0.075
108	0.05
109	0.025
110	0.05
111	0.075
112	0.1
113	0.075
114	0.05
115	0.025
116	0.05
117	0.075
118	0.1
119	0.075
120	0.05
121	0.025
122	0.05
123	0.075
124	0.1
125	0.075
126	0.05
127	0.025
128	0.05
129	0.075
130	0.1
131	0.075
132	0.05
133	0.025
134	0.05
135	0.075
136	0.1
137	0.075
138	0.05
139	0.025
140	0.05
141	0.075
142	0.1
143	0.075
144	0.05
145	0.025
146	0.05
147	0.075
148	0.1
149	0.075
150	0.05
151	0.025
152	0.05
153	0.075
154	0.1
155	0.075
156	0.05
157	0.025
158	0.05
159	0.075
160	0.1
161	0.075
162	0.05
163	0.025
164	0.05
165	0.075
166	0.1
167	0.075
168	0.05
169	0.025
170	0.05
171	0.075
172	0.1
173	0.075
174	0.05
175	0.025
176	0.05
177	0.075
178	0.1
179	0.075
180	0.05
181	0.025
182	0.05
183	0.075
184	0.1
185	0.075
186	0.05
187	0.025
188	0.05
189	0.075
190	0.1
191	0.075
192	0.05
193	0.025
194	0.05
195	0.075
196	0.1
